"year","state","industry","ann_avg_establishment_count","ann_avg_employment","ann_total_wages","ann_avg_weekly_wage","ann_avg_pay"
2020,"Illinois","Information",7162,87520,9632378336,2117,110059
2020,"Illinois","Financial activities",33063,376539,45800061051,2339,121634
2020,"Illinois","Professional and business services",75904,892150,74841220930,1613,83889
2020,"Illinois","Education and health services",39684,882088,49112923623,1071,55678
2020,"Illinois","Leisure and hospitality",32842,462216,11580234726,482,25054
2020,"Illinois","Other services",35477,184359,8891568470,927,48230
2020,"Illinois","Unclassified",12404,612,27084963,852,44287
2020,"Indiana","Natural resources and mining",2302,20872,1058862647,976,50732
2020,"Indiana","Construction",15617,144001,9017143287,1204,62619
2020,"Indiana","Manufacturing",9255,504460,32836216357,1252,65092
2020,"Indiana","Trade, transportation, and utilities",40846,583686,26809487888,883,45931
2020,"Indiana","Information",2521,26075,1751964203,1292,67191
2020,"Indiana","Financial activities",17574,133449,9646147871,1390,72283
2020,"Indiana","Professional and business services",32143,326745,19140091368,1127,58578
2020,"Indiana","Education and health services",16899,451743,23852872629,1015,52802
2020,"Indiana","Leisure and hospitality",16068,263892,5408026806,394,20493
2020,"Indiana","Other services",13233,80627,2953870434,705,36636
2020,"Indiana","Unclassified",510,8,391690,922,47962
2020,"Iowa","Natural resources and mining",2911,22868,1042493186,877,45588
2020,"Iowa","Construction",9434,76561,4733857640,1189,61831
2020,"Iowa","Manufacturing",4099,216615,13668998205,1214,63103
2020,"Iowa","Trade, transportation, and utilities",23479,298376,13171972361,849,44146
2020,"Iowa","Information",1811,19135,1279287493,1286,66858
2020,"Iowa","Financial activities",10731,109283,8866224828,1560,81131
2020,"Iowa","Professional and business services",16706,134822,8331104601,1188,61793
2020,"Iowa","Education and health services",13294,209301,9883705653,908,47222
2020,"Iowa","Leisure and hospitality",8734,118383,2131083037,346,18002
2020,"Iowa","Other services",7585,37229,1495225249,772,40163
2020,"Kansas","Natural resources and mining",2613,18607,887937415,918,47721
2020,"Kansas","Construction",7355,63118,3731890028,1137,59126
2020,"Kansas","Manufacturing",3109,158784,9996729679,1211,62958
2020,"Kansas","Trade, transportation, and utilities",19497,255575,11759659599,885,46012
2020,"Kansas","Information",1561,16734,1234148683,1418,73749
2020,"Kansas","Financial activities",8752,73310,5563410200,1459,75889
2020,"Kansas","Professional and business services",16823,168813,11738816762,1337,69538
2020,"Kansas","Education and health services",10330,194569,9433799407,932,48486
2020,"Kansas","Leisure and hospitality",6792,110526,1999185202,348,18088
2020,"Kansas","Other services",5873,31183,1215039400,749,38965
2020,"Kentucky","Natural resources and mining",1632,16061,877021021,1050,54605
2020,"Kentucky","Construction",9832,77924,4557309974,1125,58484
2020,"Kentucky","Manufacturing",4978,235564,14817387035,1210,62902
2020,"Kentucky","Trade, transportation, and utilities",28266,393361,18424659370,901,46839
2020,"Kentucky","Information",2111,20268,1286240352,1220,63462
2020,"Kentucky","Financial activities",11729,92079,6922219452,1446,75177
2020,"Kentucky","Professional and business services",22329,207575,11621472667,1077,55987
2020,"Kentucky","Education and health services",20809,263195,13711925321,1002,52098
2020,"Kentucky","Leisure and hospitality",10331,165335,3227699685,375,19522
2020,"Kentucky","Other services",9084,40228,1564662100,748,38895
2020,"Kentucky","Unclassified",521,328,21770535,1275,66306
2020,"Louisiana","Natural resources and mining",3143,37751,3273993784,1668,86727
2020,"Louisiana","Construction",11349,121521,7941928318,1257,65354
2020,"Louisiana","Manufacturing",4501,131430,10275571383,1504,78183
2020,"Louisiana","Trade, transportation, and utilities",31210,358336,16493934901,885,46029
2020,"Louisiana","Information",1935,18712,1229395357,1263,65700
2020,"Louisiana","Financial activities",14229,81149,5632481419,1335,69409
2020,"Louisiana","Professional and business services",26262,204729,12311637157,1156,60136
2020,"Louisiana","Education and health services",16834,296324,14289392740,927,48222
2020,"Louisiana","Leisure and hospitality",13351,188383,4185173849,427,22216
2020,"Louisiana","Other services",9437,41500,1710894841,793,41226
